ID,Nombre,Departamento,Municipio
10074,"CENTRO ESCOLAR COLONIA LAS VIÑAS, CANTON EL JUNQUILLO",AHUACHAPAN,AHUACHAPÁN
10075,CENTRO ESCOLAR CANTON JOYA DEL ZAPOTE,AHUACHAPAN,ATIQUIZAYA
10076,CENTRO ESCOLAR GENERAL FRANCISCO MENENDEZ,AHUACHAPAN,ATIQUIZAYA
10077,CENTRO ESCOLAR MERCEDES MONTERROSA DE CARCAMO,AHUACHAPAN,ATIQUIZAYA
10078,CENTRO ESCOLAR MANUEL ALVAREZ MAGAÑA,AHUACHAPAN,ATIQUIZAYA
10079,CENTRO ESCOLAR ANTONIO JOSE DE SUCRE,AHUACHAPAN,ATIQUIZAYA
10080,CENTRO ESCOLAR EXALTACION POMPILIO SALGADO RIVERA,SAN MIGUEL,SAN MIGUEL
10081,ESCUELA DE EDUCACION PARVULARIA PROFESORA CORDELIA AVALOS DE LABOR,AHUACHAPAN,ATIQUIZAYA
10082,CENTRO ESCOLAR CANTON LA ESPERANZA,AHUACHAPAN,ATIQUIZAYA
10083,CENTRO ESCOLAR CANTON JOYA DEL PLATANAR,AHUACHAPAN,ATIQUIZAYA
10084,CENTRO ESCOLAR URBANIZACION MONTELIMAR,LA PAZ,OLOCUILTA
10085,CENTRO ESCOLAR CANTON SHUCUTITAN,AHUACHAPAN,CONCEPCION DE ATACO
10086,CENTRO ESCOLAR LA CAMPANERA,SAN SALVADOR,SOYAPANGO
10087,CENTRO ESCOLAR CANTON LOS TABLONES,AHUACHAPAN,CONCEPCION DE ATACO
10088,INSTITUTO NACIONAL CANTON LAS PILAS,CHALATENANGO,SAN IGNACIO
10089,INSTITUTO NACIONAL DE COATEPEQUE,SANTA ANA,COATEPEQUE
10090,CENTRO ESCOLAR CANTON JOYA DE LOS APANTES,AHUACHAPAN,CONCEPCION DE ATACO
10091,ESCUELA DE EDUCACION PARVULARIA DE CONCEPCION DE ATACO,AHUACHAPAN,CONCEPCION DE ATACO
10092,CENTRO ESCOLAR EL SAUCE,SONSONATE,SONZACATE
10093,INSTITUTO NACIONAL DE SONZACATE,SONSONATE,SONZACATE
10094,CENTRO ESCOLAR CANTON LA CEIBA ABAJO,AHUACHAPAN,CONCEPCION DE ATACO
10095,COMPLEJO EDUCATIVO ANTONIO J. ALFARO,AHUACHAPAN,CONCEPCION DE ATACO
10096,CENTRO ESCOLAR SAN ANTONIO,SAN SALVADOR,SOYAPANGO
10097,CENTRO ESCOLAR FRANCISCO GAVIDIA,AHUACHAPAN,EL REFUGIO
10098,CENTRO ESCOLAR COLONIA EL ANGEL,AHUACHAPAN,EL REFUGIO
10099,CENTRO ESCOLAR DE GUAYMANGO,AHUACHAPAN,GUAYMANGO
10101,CENTRO ESCOLAR CANTON PLATANARES,AHUACHAPAN,GUAYMANGO
10102,INSTITUTO NACIONAL DE ARCATAO,CHALATENANGO,ARCATAO
10103,INSTITUTO NACIONAL DE YAMABAL,MORAZAN,YAMABAL
10104,CENTRO ESCOLAR COLONIA SANTA CRISTINA,USULUTÁN,USULUTÁN
10105,CENTRO ESCOLAR HACIENDA SAN MARTIN Y LARIN,AHUACHAPAN,GUAYMANGO
10106,CENTRO ESCOLAR FUNDACION CESSA,SANTA ANA,METAPÁN
10107,CENTRO ESCOLAR LA GAVIOTA #2,USULUTÁN,JIQUILISCO
10108,CENTRO ESCOLAR CANTON GUAYAPA ABAJO,AHUACHAPAN,JUJUTLA
10109,CENTRO ESCOLAR FINCA EL SALTO,AHUACHAPAN,JUJUTLA
10110,COMPLEJO EDUCATIVO COLONIA NUEVA,AHUACHAPAN,JUJUTLA
10111,CENTRO ESCOLAR HACIENDA HOJA DE SAL CANTON GUAYAPA ARRIBA,AHUACHAPAN,JUJUTLA
10112,CENTRO ESCOLAR CASERIO LOS CALDERON,AHUACHAPAN,JUJUTLA
10113,"CENTRO ESCOLAR CASERIO CUILAPA, CANTON GUAYAPA ARRIBA",AHUACHAPAN,JUJUTLA
10114,"CENTRO ESCOLAR CASERIO EL CARMEN, CANTON FALLA",AHUACHAPAN,JUJUTLA
10115,CENTRO ESCOLAR CANTON ZAPUA,AHUACHAPAN,JUJUTLA
10116,INSTITUTO NACIONAL DE JUTIAPA,CABAÑAS,JUTIAPA
10117,INSTITUTO NACIONAL DE EL REFUGIO,AHUACHAPAN,EL REFUGIO
10118,CENTRO ESCOLAR CASERIO EL MANGO,AHUACHAPAN,JUJUTLA
10119,CENTRO ESCOLAR HACIENDA LAS DELICIAS CANTON SAN ANTONIO,AHUACHAPAN,JUJUTLA
10120,CENTRO ESCOLAR DOCTOR SIXTO ALBERTO PADILLA,AHUACHAPAN,JUJUTLA
